City,Max_Temp,Humidity,Cloudiness,Wind_Speed,Latitude,Longitude,Country,Date
Punta Arenas,42.8,70,75,13.87,-53.15,-70.92,CL,1604990927
Namatanai,82.98,74,77,4.83,-3.67,152.43,PG,1604990999
Carnarvon,75.2,47,0,18.34,-24.87,113.63,AU,1604990999
Busselton,62.01,48,28,5.99,-33.65,115.33,AU,1604990723
Cherskiy,1.6,94,100,4.0,68.75,161.3,RU,1604990826
Saint Paul Harbor,30.2,80,1,6.93,57.79,-152.41,US,1604991000
Ushuaia,42.8,75,40,31.09,-54.8,-68.3,AR,1604990895
Soyo,75.2,88,75,3.96,-6.13,12.37,AO,1604991000
Mataura,54.0,81,0,13.0,-46.19,168.86,NZ,1604990926
Praia,77.0,78,0,13.87,14.92,-23.51,CV,1604991001
Bengkulu,82.98,76,100,5.17,-3.8,102.27,ID,1604991001
Oranjemund,62.26,45,0,14.72,-28.55,16.43,NA,1604991001
Butaritari,83.7,67,21,4.18,3.07,172.79,KI,1604990928
Yar-Sale,10.71,93,89,8.05,66.83,70.83,RU,1604991002
Port Elizabeth,62.6,72,0,11.41,-33.92,25.57,ZA,1604991002
Ilulissat,6.04,93,100,5.68,69.22,-51.1,GL,1604991003
Bubaque,82.51,72,22,5.95,11.28,-15.83,GW,1604991003
Barrow,8.6,78,90,17.22,71.29,-156.79,US,1604991001
Kapaa,73.4,100,90,4.7,22.08,-159.32,US,1604990929
Bluff,54.0,81,0,13.0,-46.6,168.33,NZ,1604990928
Boca do Acre,72.18,91,100,1.19,-8.75,-67.4,BR,1604991003
New Norfolk,80.01,27,68,1.99,-42.78,147.06,AU,1604991004
Hobart,77.0,41,0,10.29,-42.88,147.33,AU,1604990773
Tiksi,-12.66,89,57,6.67,71.69,128.87,RU,1604990629
Kovernino,33.19,94,95,8.79,57.13,43.81,RU,1604991004
Saskylakh,6.28,93,100,14.41,71.92,114.08,RU,1604990930
Mackay,78.8,57,75,14.99,-21.15,149.2,AU,1604991005
Ukiah,39.2,60,1,2.08,39.15,-123.21,US,1604990408
Kodinsk,35.65,83,100,10.02,58.69,99.18,RU,1604991005
Rikitea,74.21,77,56,15.17,-23.12,-134.97,PF,1604990929
Airai,70.74,87,100,3.09,-8.93,125.41,TL,1604991005
Cape Town,63.0,54,0,16.11,-33.93,18.42,ZA,1604990931
Guymon,35.6,80,90,18.34,36.68,-101.48,US,1604990812
Atuona,78.22,74,1,12.77,-9.8,-139.03,PF,1604990926
Nikolskoye,34.0,100,20,8.95,59.7,30.79,RU,1604991006
Hong Kong,75.99,47,14,1.99,22.29,114.16,HK,1604990881
Ostrovnoy,34.16,87,100,15.9,68.05,39.51,RU,1604990931
Lagos,77.99,90,3,1.9,6.58,3.75,NG,1604991007
Half Moon Bay,48.2,56,1,3.89,37.46,-122.43,US,1604990911
Kruisfontein,61.0,72,3,3.0,-34.0,24.73,ZA,1604990926
Thompson,12.2,92,90,6.93,55.74,-97.86,CA,1604990932
Avarua,75.2,94,0,12.75,-21.21,-159.78,CK,1604991008
Jos,68.22,35,0,5.03,9.92,8.9,NG,1604991008
Nhulunbuy,87.8,58,40,13.87,-12.23,136.77,AU,1604991008
Hermanus,63.0,54,0,5.01,-34.42,19.23,ZA,1604991008
Chokurdakh,-16.42,90,78,1.1,70.63,147.92,RU,1604990930
Lodja,70.81,95,100,3.11,-3.48,23.43,CD,1604991009
Faanui,79.11,79,100,14.99,-16.48,-151.75,PF,1604991009
Xai-Xai,75.85,75,99,19.91,-25.05,33.64,MZ,1604991009
Tuktoyaktuk,-0.4,84,75,12.75,69.45,-133.04,CA,1604991009
Constitución,55.06,78,0,4.83,-35.33,-72.42,CL,1604991010
Marfino,37.99,74,75,11.18,55.7,37.38,RU,1604991010
Lompoc,44.6,56,1,7.54,34.64,-120.46,US,1604991010
Ardu,42.8,81,90,2.24,59.1,25.35,EE,1604991010
São Filipe,80.13,72,4,5.01,14.9,-24.5,CV,1604991010
Grindavik,35.6,63,40,13.87,63.84,-22.43,IS,1604991011
Waipawa,51.8,76,99,28.86,-41.41,175.52,NZ,1604991011
Kumluca,73.22,38,39,3.96,36.37,30.29,TR,1604991011
Kapit,92.17,50,99,2.62,2.02,112.93,MY,1604991011
Khatanga,9.28,95,100,10.63,71.97,102.5,RU,1604991012
Beringovskiy,28.71,95,100,19.13,63.05,179.32,RU,1604991012
Port Alfred,60.31,77,100,7.65,-33.59,26.89,ZA,1604990925
